step,token,text_so_far,entropy,coherence,resonance,d_resonance,temperature,top_p
1,8586,Here,1.05957,1.0,0.341652,0.0,0.8,0.95
2,374,Here is,0.068726,0.502441,0.480986,0.139334,0.8,0.95
3,264,Here is a,8.2e-05,0.617188,0.617156,0.13617,0.8,0.95
4,91389,Here is a bilingual,0.123474,0.685059,0.632502,0.015346,0.8,0.95
5,2875,Here is a bilingual short,0.000212,0.614746,0.614665,-0.017837,0.8,0.95
6,3446,Here is a bilingual short story,6e-06,0.346436,0.346434,-0.268231,0.8,0.95
7,430,Here is a bilingual short story that,1.042969,0.483398,0.17014,-0.176294,0.8,0.95
8,7064,Here is a bilingual short story that altern,0.728027,0.218506,0.119665,-0.050475,0.8,0.95
9,988,Here is a bilingual short story that alternates,1e-06,0.213623,0.213623,0.093958,0.8,0.95
10,1990,Here is a bilingual short story that alternates between,0.002001,0.644531,0.64373,0.430107,0.8,0.95
11,6498,Here is a bilingual short story that alternates between English,0.000141,0.567871,0.567821,-0.075909,0.8,0.95
12,323,Here is a bilingual short story that alternates between English and,2e-05,0.449707,0.449701,-0.11812,0.8,0.95
13,8753,Here is a bilingual short story that alternates between English and French,2.1e-05,0.368408,0.368403,-0.081298,0.8,0.95
14,11,"Here is a bilingual short story that alternates between English and French,",1.010742,0.422119,0.157024,-0.211379,0.8,0.95
15,1701,"Here is a bilingual short story that alternates between English and French, using",0.407471,0.400635,0.299204,0.142179,0.8,0.95
16,279,"Here is a bilingual short story that alternates between English and French, using the",0.309326,0.763184,0.616503,0.3173,0.8,0.95
17,12062,"Here is a bilingual short story that alternates between English and French, using the differences",0.233521,0.475586,0.406581,-0.209922,0.8,0.95
18,304,"Here is a bilingual short story that alternates between English and French, using the differences in",0.039337,0.56543,0.55161,0.145029,0.8,0.95
19,4221,"Here is a bilingual short story that alternates between English and French, using the differences in language",0.000674,0.46582,0.465625,-0.085985,0.8,0.95
20,311,"Here is a bilingual short story that alternates between English and French, using the differences in language to",2e-06,0.532715,0.532714,0.067089,0.8,0.95
21,1501,"Here is a bilingual short story that alternates between English and French, using the differences in language to show",0.588867,0.397461,0.252036,-0.280678,0.8,0.95
22,29735,"Here is a bilingual short story that alternates between English and French, using the differences in language to show shifts",7.5e-05,0.466064,0.466043,0.214006,0.8,0.95
23,304,"Here is a bilingual short story that alternates between English and French, using the differences in language to show shifts in",-0.0,0.539062,0.539062,0.07302,0.8,0.95
24,20356,"Here is a bilingual short story that alternates between English and French, using the differences in language to show shifts in emotion",0.00033,0.467773,0.467677,-0.071385,0.8,0.95
25,477,"Here is a bilingual short story that alternates between English and French, using the differences in language to show shifts in emotion or",0.141113,0.422363,0.385331,-0.082346,0.8,0.95
26,7438,"Here is a bilingual short story that alternates between English and French, using the differences in language to show shifts in emotion or meaning",2.7e-05,0.253418,0.253414,-0.131917,0.8,0.95
27,1473,"Here is a bilingual short story that alternates between English and French, using the differences in language to show shifts in emotion or meaning:

",0.140747,0.210815,0.192379,-0.061034,0.8,0.95
28,2170,"Here is a bilingual short story that alternates between English and French, using the differences in language to show shifts in emotion or meaning:

As",0.544922,0.460938,0.304874,0.112494,0.8,0.95
29,358,"Here is a bilingual short story that alternates between English and French, using the differences in language to show shifts in emotion or meaning:

As I",0.645508,0.323486,0.193744,-0.11113,0.8,0.95
30,15203,"Here is a bilingual short story that alternates between English and French, using the differences in language to show shifts in emotion or meaning:

As I walked",0.597656,0.400879,0.252015,0.058271,0.8,0.95
31,7636,"Here is a bilingual short story that alternates between English and French, using the differences in language to show shifts in emotion or meaning:

As I walked alone",0.958984,0.728516,0.294429,0.042415,0.8,0.95
32,1555,"Here is a bilingual short story that alternates between English and French, using the differences in language to show shifts in emotion or meaning:

As I walked alone through",0.950195,0.57959,0.237406,-0.057023,0.8,0.95
33,279,"Here is a bilingual short story that alternates between English and French, using the differences in language to show shifts in emotion or meaning:

As I walked alone through the",0.001354,0.652832,0.652283,0.414877,0.8,0.95
34,13952,"Here is a bilingual short story that alternates between English and French, using the differences in language to show shifts in emotion or meaning:

As I walked alone through the forest",1.447266,0.44165,0.044502,-0.607781,0.8,0.95
35,11,"Here is a bilingual short story that alternates between English and French, using the differences in language to show shifts in emotion or meaning:

As I walked alone through the forest,",0.029968,0.60791,0.596591,0.552089,0.8,0.95
