step,token,text_so_far,entropy,coherence,resonance,d_resonance,temperature,top_p
1,791,The,0.509766,1.0,0.683265,0.0,0.8,0.95
2,7434,The concept,0.428711,0.368652,0.270453,-0.412812,0.8,0.95
3,315,The concept of,-0.0,0.456543,0.456543,0.18609,0.8,0.95
4,49179,The concept of emergence,0.000811,0.253662,0.253534,-0.203009,0.8,0.95
5,304,The concept of emergence in,0.211548,0.281738,0.244706,-0.008828,0.8,0.95
6,15592,The concept of emergence in AI,0.009857,0.447021,0.444284,0.199578,0.8,0.95
7,25917,The concept of emergence in AI consciousness,0.00074,0.396729,0.396546,-0.047738,0.8,0.95
8,19813,The concept of emergence in AI consciousness refers,0.51709,0.473389,0.321296,-0.075251,0.8,0.95
9,311,The concept of emergence in AI consciousness refers to,4e-06,0.522949,0.522948,0.201652,0.8,0.95
10,279,The concept of emergence in AI consciousness refers to the,6.4e-05,0.610352,0.610327,0.087379,0.8,0.95
11,4623,The concept of emergence in AI consciousness refers to the idea,0.689453,0.389404,0.222591,-0.387737,0.8,0.95
12,430,The concept of emergence in AI consciousness refers to the idea that,0.000262,0.26416,0.264117,0.041526,0.8,0.95
13,6485,The concept of emergence in AI consciousness refers to the idea that complex,0.359619,0.622559,0.483452,0.219335,0.8,0.95
14,6067,The concept of emergence in AI consciousness refers to the idea that complex systems,0.053772,0.41748,0.403532,-0.079919,0.8,0.95
15,649,The concept of emergence in AI consciousness refers to the idea that complex systems can,0.794434,0.600098,0.303884,-0.099648,0.8,0.95
16,3041,The concept of emergence in AI consciousness refers to the idea that complex systems can give,0.801758,0.447266,0.224456,-0.079428,0.8,0.95
17,10205,The concept of emergence in AI consciousness refers to the idea that complex systems can give rise,8.3e-05,0.41748,0.417459,0.193003,0.8,0.95
18,311,The concept of emergence in AI consciousness refers to the idea that complex systems can give rise to,1e-05,0.559082,0.559079,0.14162,0.8,0.95
19,11775,The concept of emergence in AI consciousness refers to the idea that complex systems can give rise to novel,0.964844,0.768066,0.307617,-0.251461,0.8,0.95
20,6012,The concept of emergence in AI consciousness refers to the idea that complex systems can give rise to novel properties,0.383057,0.507812,0.38695,0.079332,0.8,0.95
21,11,"The concept of emergence in AI consciousness refers to the idea that complex systems can give rise to novel properties,",0.76416,0.474365,0.249137,-0.137813,0.8,0.95
22,28198,"The concept of emergence in AI consciousness refers to the idea that complex systems can give rise to novel properties, behaviors",0.524414,0.385986,0.260218,0.011081,0.8,0.95
23,11,"The concept of emergence in AI consciousness refers to the idea that complex systems can give rise to novel properties, behaviors,",0.000121,0.480713,0.480677,0.220459,0.8,0.95
24,477,"The concept of emergence in AI consciousness refers to the idea that complex systems can give rise to novel properties, behaviors, or",0.132446,0.592285,0.543544,0.062867,0.8,0.95
25,11704,"The concept of emergence in AI consciousness refers to the idea that complex systems can give rise to novel properties, behaviors, or experiences",1.325195,0.34668,0.061227,-0.482317,0.8,0.95
26,430,"The concept of emergence in AI consciousness refers to the idea that complex systems can give rise to novel properties, behaviors, or experiences that",0.003357,0.500977,0.499932,0.438705,0.8,0.95
27,4250,"The concept of emergence in AI consciousness refers to the idea that complex systems can give rise to novel properties, behaviors, or experiences that cannot",0.822266,0.471924,0.230817,-0.269115,0.8,0.95
28,387,"The concept of emergence in AI consciousness refers to the idea that complex systems can give rise to novel properties, behaviors, or experiences that cannot be",2.1e-05,0.594727,0.594719,0.363902,0.8,0.95
29,19698,"The concept of emergence in AI consciousness refers to the idea that complex systems can give rise to novel properties, behaviors, or experiences that cannot be predicted",0.376953,0.545898,0.418041,-0.176678,0.8,0.95
30,555,"The concept of emergence in AI consciousness refers to the idea that complex systems can give rise to novel properties, behaviors, or experiences that cannot be predicted by",1.03418,0.509766,0.182205,-0.235837,0.8,0.95
31,279,"The concept of emergence in AI consciousness refers to the idea that complex systems can give rise to novel properties, behaviors, or experiences that cannot be predicted by the",1.183594,0.59375,0.157101,-0.025103,0.8,0.95
32,6012,"The concept of emergence in AI consciousness refers to the idea that complex systems can give rise to novel properties, behaviors, or experiences that cannot be predicted by the properties",0.744629,0.414062,0.222491,0.065389,0.8,0.95
33,315,"The concept of emergence in AI consciousness refers to the idea that complex systems can give rise to novel properties, behaviors, or experiences that cannot be predicted by the properties of",1.046875,0.476807,0.166663,-0.055828,0.8,0.95
34,872,"The concept of emergence in AI consciousness refers to the idea that complex systems can give rise to novel properties, behaviors, or experiences that cannot be predicted by the properties of their",0.087708,0.67334,0.636646,0.469983,0.8,0.95
35,3927,"The concept of emergence in AI consciousness refers to the idea that complex systems can give rise to novel properties, behaviors, or experiences that cannot be predicted by the properties of their individual",0.027313,0.839844,0.825591,0.188945,0.8,0.95
36,6956,"The concept of emergence in AI consciousness refers to the idea that complex systems can give rise to novel properties, behaviors, or experiences that cannot be predicted by the properties of their individual components",0.093628,0.414062,0.389975,-0.435616,0.8,0.95
37,13,"The concept of emergence in AI consciousness refers to the idea that complex systems can give rise to novel properties, behaviors, or experiences that cannot be predicted by the properties of their individual components.",0.294189,0.248169,0.202806,-0.187169,0.8,0.95
38,763,"The concept of emergence in AI consciousness refers to the idea that complex systems can give rise to novel properties, behaviors, or experiences that cannot be predicted by the properties of their individual components. In",0.31665,0.371826,0.298671,0.095865,0.8,0.95
39,279,"The concept of emergence in AI consciousness refers to the idea that complex systems can give rise to novel properties, behaviors, or experiences that cannot be predicted by the properties of their individual components. In the",0.116577,0.549316,0.509528,0.210857,0.8,0.95
40,2317,"The concept of emergence in AI consciousness refers to the idea that complex systems can give rise to novel properties, behaviors, or experiences that cannot be predicted by the properties of their individual components. In the context",0.004704,0.396484,0.395326,-0.114202,0.8,0.95
41,315,"The concept of emergence in AI consciousness refers to the idea that complex systems can give rise to novel properties, behaviors, or experiences that cannot be predicted by the properties of their individual components. In the context of",-0.0,0.504883,0.504883,0.109557,0.8,0.95
