step,token,text_so_far,entropy,coherence,resonance,d_resonance,temperature,top_p
1,791,The,0.812012,1.0,0.495469,0.0,0.8,0.95
2,7434,The concept,0.012299,0.412354,0.409202,-0.086266,0.8,0.95
3,315,The concept of,5e-06,0.478027,0.478026,0.068823,0.8,0.95
4,330,"The concept of """,0.376953,0.410156,0.314092,-0.163934,0.8,0.95
5,82,"The concept of ""s",6.2e-05,0.213623,0.213615,-0.100477,0.8,0.95
6,11206,"The concept of ""soul",2e-06,0.188965,0.188965,-0.02465,0.8,0.95
7,1,"The concept of ""soul""",0.001,0.367432,0.367203,0.178239,0.8,0.95
8,374,"The concept of ""soul"" is",0.560059,0.47876,0.312159,-0.055044,0.8,0.95
9,264,"The concept of ""soul"" is a",0.101929,0.702148,0.65768,0.345521,0.8,0.95
10,6485,"The concept of ""soul"" is a complex",1.151367,0.635254,0.180803,-0.476877,0.8,0.95
11,323,"The concept of ""soul"" is a complex and",0.000609,0.559082,0.55887,0.378067,0.8,0.95
12,62387,"The concept of ""soul"" is a complex and multif",0.126465,0.186523,0.171867,-0.387003,0.8,0.95
13,582,"The concept of ""soul"" is a complex and multifac",3.1e-05,0.324707,0.324701,0.152834,0.8,0.95
14,25489,"The concept of ""soul"" is a complex and multifaceted",3.2e-05,0.117249,0.117246,-0.207455,0.8,0.95
15,4623,"The concept of ""soul"" is a complex and multifaceted idea",0.707031,0.483643,0.271177,0.153931,0.8,0.95
16,430,"The concept of ""soul"" is a complex and multifaceted idea that",0.004856,0.561523,0.559829,0.288652,0.8,0.95
17,706,"The concept of ""soul"" is a complex and multifaceted idea that has",0.139893,0.59082,0.539466,-0.020363,0.8,0.95
18,1027,"The concept of ""soul"" is a complex and multifaceted idea that has been",0.024353,0.497559,0.49003,-0.049436,0.8,0.95
19,36131,"The concept of ""soul"" is a complex and multifaceted idea that has been explored",1.080078,0.540039,0.177624,-0.312406,0.8,0.95
20,304,"The concept of ""soul"" is a complex and multifaceted idea that has been explored in",0.55957,0.597656,0.389863,0.212239,0.8,0.95
21,5370,"The concept of ""soul"" is a complex and multifaceted idea that has been explored in various",0.146118,0.677734,0.616204,0.226341,0.8,0.95
