step,token,text_so_far,entropy,coherence,resonance,d_resonance,temperature,top_p
1,9150,CR,0.279053,1.0,0.826615,0.0,0.8,0.95
2,1669,CRIS,0.000796,0.239502,0.239383,-0.587231,0.8,0.95
3,6616,CRISPR,5.6e-05,0.256592,0.256583,0.017199,0.8,0.95
4,320,CRISPR (,0.38501,0.282227,0.214712,-0.041871,0.8,0.95
5,29778,CRISPR (Cluster,0.073914,0.174316,0.166311,-0.048401,0.8,0.95
6,291,CRISPR (Clustered,1e-06,0.573242,0.573242,0.406931,0.8,0.95
7,29900,CRISPR (Clustered Regular,0.022858,0.41748,0.411551,-0.161691,0.8,0.95
8,398,CRISPR (Clustered Regularly,0.000103,0.674805,0.674761,0.26321,0.8,0.95
9,1357,CRISPR (Clustered Regularly Int,0.013268,0.330322,0.327599,-0.347162,0.8,0.95
10,388,CRISPR (Clustered Regularly Inters,0.001039,0.36084,0.360607,0.033008,0.8,0.95
11,69652,CRISPR (Clustered Regularly Interspaced,0.011002,0.156372,0.155303,-0.205304,0.8,0.95
12,10928,CRISPR (Clustered Regularly Interspaced Short,0.000238,0.516113,0.516037,0.360734,0.8,0.95
13,11165,CRISPR (Clustered Regularly Interspaced Short Pal,0.078857,0.212036,0.201647,-0.31439,0.8,0.95
14,485,CRISPR (Clustered Regularly Interspaced Short Palind,0.008911,0.32251,0.320724,0.119077,0.8,0.95
15,442,CRISPR (Clustered Regularly Interspaced Short Palindrom,0.000617,0.316406,0.316285,-0.004439,0.8,0.95
16,292,CRISPR (Clustered Regularly Interspaced Short Palindromic,-0.0,0.386963,0.386963,0.070678,0.8,0.95
17,1050,CRISPR (Clustered Regularly Interspaced Short Palindromic Re,0.000581,0.345459,0.345334,-0.041629,0.8,0.95
18,83539,CRISPR (Clustered Regularly Interspaced Short Palindromic Repeats,8.9e-05,0.157349,0.15734,-0.187994,0.8,0.95
19,8,CRISPR (Clustered Regularly Interspaced Short Palindromic Repeats),0.010658,0.417236,0.414473,0.257133,0.8,0.95
20,5557,CRISPR (Clustered Regularly Interspaced Short Palindromic Repeats) technology,0.239258,0.591797,0.503821,0.089348,0.8,0.95
21,706,CRISPR (Clustered Regularly Interspaced Short Palindromic Repeats) technology has,0.025894,0.579102,0.569784,0.065964,0.8,0.95
22,14110,CRISPR (Clustered Regularly Interspaced Short Palindromic Repeats) technology has revolution,0.013962,0.336182,0.333265,-0.236519,0.8,0.95
23,1534,CRISPR (Clustered Regularly Interspaced Short Palindromic Repeats) technology has revolutionized,3.8e-05,0.296387,0.29638,-0.036886,0.8,0.95
24,279,CRISPR (Clustered Regularly Interspaced Short Palindromic Repeats) technology has revolutionized the,0.000557,0.602051,0.601842,0.305463,0.8,0.95
25,2115,CRISPR (Clustered Regularly Interspaced Short Palindromic Repeats) technology has revolutionized the field,0.000248,0.43457,0.434503,-0.167339,0.8,0.95
26,315,CRISPR (Clustered Regularly Interspaced Short Palindromic Repeats) technology has revolutionized the field of,-0.0,0.524414,0.524414,0.089911,0.8,0.95
27,6160,CRISPR (Clustered Regularly Interspaced Short Palindromic Repeats) technology has revolutionized the field of bi,0.000202,0.257812,0.25778,-0.266634,0.8,0.95
28,52536,CRISPR (Clustered Regularly Interspaced Short Palindromic Repeats) technology has revolutionized the field of biotechnology,2.8e-05,0.120544,0.120542,-0.137238,0.8,0.95
29,555,CRISPR (Clustered Regularly Interspaced Short Palindromic Repeats) technology has revolutionized the field of biotechnology by,0.646973,0.48584,0.290539,0.169996,0.8,0.95
30,8405,CRISPR (Clustered Regularly Interspaced Short Palindromic Repeats) technology has revolutionized the field of biotechnology by providing,0.841309,0.470215,0.224417,-0.066121,0.8,0.95
31,264,CRISPR (Clustered Regularly Interspaced Short Palindromic Repeats) technology has revolutionized the field of biotechnology by providing a,0.12854,0.696777,0.641128,0.416711,0.8,0.95
32,24473,CRISPR (Clustered Regularly Interspaced Short Palindromic Repeats) technology has revolutionized the field of biotechnology by providing a precise,1.131836,0.548828,0.162865,-0.478263,0.8,0.95
33,323,CRISPR (Clustered Regularly Interspaced Short Palindromic Repeats) technology has revolutionized the field of biotechnology by providing a precise and,0.044922,0.531738,0.516897,0.354031,0.8,0.95
34,11297,CRISPR (Clustered Regularly Interspaced Short Palindromic Repeats) technology has revolutionized the field of biotechnology by providing a precise and efficient,0.046814,0.520996,0.505842,-0.011055,0.8,0.95
35,1648,CRISPR (Clustered Regularly Interspaced Short Palindromic Repeats) technology has revolutionized the field of biotechnology by providing a precise and efficient way,0.694824,0.456055,0.259167,-0.246674,0.8,0.95
36,311,CRISPR (Clustered Regularly Interspaced Short Palindromic Repeats) technology has revolutionized the field of biotechnology by providing a precise and efficient way to,0.00176,0.516113,0.515549,0.256382,0.8,0.95
37,4600,CRISPR (Clustered Regularly Interspaced Short Palindromic Repeats) technology has revolutionized the field of biotechnology by providing a precise and efficient way to edit,0.012306,0.408447,0.405324,-0.110225,0.8,0.95
38,21389,CRISPR (Clustered Regularly Interspaced Short Palindromic Repeats) technology has revolutionized the field of biotechnology by providing a precise and efficient way to edit genes,0.115845,0.471924,0.437956,0.032631,0.8,0.95
39,13,CRISPR (Clustered Regularly Interspaced Short Palindromic Repeats) technology has revolutionized the field of biotechnology by providing a precise and efficient way to edit genes.,0.828613,0.304199,0.147583,-0.290372,0.8,0.95
40,1115,CRISPR (Clustered Regularly Interspaced Short Palindromic Repeats) technology has revolutionized the field of biotechnology by providing a precise and efficient way to edit genes. This,1.291016,0.321045,0.063518,-0.084066,0.8,0.95
41,706,CRISPR (Clustered Regularly Interspaced Short Palindromic Repeats) technology has revolutionized the field of biotechnology by providing a precise and efficient way to edit genes. This has,1.358398,0.350586,0.054684,-0.008833,0.8,0.95
42,9107,CRISPR (Clustered Regularly Interspaced Short Palindromic Repeats) technology has revolutionized the field of biotechnology by providing a precise and efficient way to edit genes. This has opened,0.560547,0.4646,0.302785,0.248101,0.8,0.95
43,709,CRISPR (Clustered Regularly Interspaced Short Palindromic Repeats) technology has revolutionized the field of biotechnology by providing a precise and efficient way to edit genes. This has opened up,0.004002,0.829102,0.82704,0.524255,0.8,0.95
44,502,CRISPR (Clustered Regularly Interspaced Short Palindromic Repeats) technology has revolutionized the field of biotechnology by providing a precise and efficient way to edit genes. This has opened up new,0.377197,0.697754,0.534224,-0.292816,0.8,0.95
45,24525,CRISPR (Clustered Regularly Interspaced Short Palindromic Repeats) technology has revolutionized the field of biotechnology by providing a precise and efficient way to edit genes. This has opened up new possibilities,0.546875,0.445801,0.294321,-0.239903,0.8,0.95
46,369,CRISPR (Clustered Regularly Interspaced Short Palindromic Repeats) technology has revolutionized the field of biotechnology by providing a precise and efficient way to edit genes. This has opened up new possibilities for,0.003286,0.424316,0.42345,0.129129,0.8,0.95
47,27723,CRISPR (Clustered Regularly Interspaced Short Palindromic Repeats) technology has revolutionized the field of biotechnology by providing a precise and efficient way to edit genes. This has opened up new possibilities for treating,0.964355,0.495361,0.198547,-0.224903,0.8,0.95
48,19465,CRISPR (Clustered Regularly Interspaced Short Palindromic Repeats) technology has revolutionized the field of biotechnology by providing a precise and efficient way to edit genes. This has opened up new possibilities for treating genetic,0.204346,0.630371,0.550335,0.351788,0.8,0.95
49,19338,CRISPR (Clustered Regularly Interspaced Short Palindromic Repeats) technology has revolutionized the field of biotechnology by providing a precise and efficient way to edit genes. This has opened up new possibilities for treating genetic diseases,0.172729,0.380859,0.339984,-0.21035,0.8,0.95
50,11,"CRISPR (Clustered Regularly Interspaced Short Palindromic Repeats) technology has revolutionized the field of biotechnology by providing a precise and efficient way to edit genes. This has opened up new possibilities for treating genetic diseases,",0.034058,0.303711,0.297284,-0.0427,0.8,0.95
51,18899,"CRISPR (Clustered Regularly Interspaced Short Palindromic Repeats) technology has revolutionized the field of biotechnology by providing a precise and efficient way to edit genes. This has opened up new possibilities for treating genetic diseases, improving",0.280762,0.541504,0.44704,0.149756,0.8,0.95
52,19641,"CRISPR (Clustered Regularly Interspaced Short Palindromic Repeats) technology has revolutionized the field of biotechnology by providing a precise and efficient way to edit genes. This has opened up new possibilities for treating genetic diseases, improving crop",0.275635,0.547852,0.454026,0.006986,0.8,0.95
53,36508,"CRISPR (Clustered Regularly Interspaced Short Palindromic Repeats) technology has revolutionized the field of biotechnology by providing a precise and efficient way to edit genes. This has opened up new possibilities for treating genetic diseases, improving crop yields",0.165771,0.414062,0.371414,-0.082611,0.8,0.95
54,11,"CRISPR (Clustered Regularly Interspaced Short Palindromic Repeats) technology has revolutionized the field of biotechnology by providing a precise and efficient way to edit genes. This has opened up new possibilities for treating genetic diseases, improving crop yields,",0.003565,0.393555,0.392683,0.021269,0.8,0.95
55,323,"CRISPR (Clustered Regularly Interspaced Short Palindromic Repeats) technology has revolutionized the field of biotechnology by providing a precise and efficient way to edit genes. This has opened up new possibilities for treating genetic diseases, improving crop yields, and",8.9e-05,0.813477,0.813431,0.420748,0.8,0.95
56,11469,"CRISPR (Clustered Regularly Interspaced Short Palindromic Repeats) technology has revolutionized the field of biotechnology by providing a precise and efficient way to edit genes. This has opened up new possibilities for treating genetic diseases, improving crop yields, and developing",1.429688,0.522461,0.058351,-0.75508,0.8,0.95
57,502,"CRISPR (Clustered Regularly Interspaced Short Palindromic Repeats) technology has revolutionized the field of biotechnology by providing a precise and efficient way to edit genes. This has opened up new possibilities for treating genetic diseases, improving crop yields, and developing new",0.467529,0.765625,0.543217,0.484866,0.8,0.95
58,17332,"CRISPR (Clustered Regularly Interspaced Short Palindromic Repeats) technology has revolutionized the field of biotechnology by providing a precise and efficient way to edit genes. This has opened up new possibilities for treating genetic diseases, improving crop yields, and developing new bio",1.283203,0.404297,0.081951,-0.461265,0.8,0.95
59,33721,"CRISPR (Clustered Regularly Interspaced Short Palindromic Repeats) technology has revolutionized the field of biotechnology by providing a precise and efficient way to edit genes. This has opened up new possibilities for treating genetic diseases, improving crop yields, and developing new biofu",0.035797,0.236938,0.231668,0.149717,0.8,0.95
60,2053,"CRISPR (Clustered Regularly Interspaced Short Palindromic Repeats) technology has revolutionized the field of biotechnology by providing a precise and efficient way to edit genes. This has opened up new possibilities for treating genetic diseases, improving crop yields, and developing new biofuels",-0.0,0.236572,0.236572,0.004904,0.8,0.95
61,13,"CRISPR (Clustered Regularly Interspaced Short Palindromic Repeats) technology has revolutionized the field of biotechnology by providing a precise and efficient way to edit genes. This has opened up new possibilities for treating genetic diseases, improving crop yields, and developing new biofuels.",0.633301,0.326904,0.19827,-0.038302,0.8,0.95
62,4452,"CRISPR (Clustered Regularly Interspaced Short Palindromic Repeats) technology has revolutionized the field of biotechnology by providing a precise and efficient way to edit genes. This has opened up new possibilities for treating genetic diseases, improving crop yields, and developing new biofuels. However",1.027344,0.362061,0.130948,-0.067322,0.8,0.95
63,11,"CRISPR (Clustered Regularly Interspaced Short Palindromic Repeats) technology has revolutionized the field of biotechnology by providing a precise and efficient way to edit genes. This has opened up new possibilities for treating genetic diseases, improving crop yields, and developing new biofuels. However,",-0.0,0.482666,0.482666,0.351718,0.8,0.95
64,449,"CRISPR (Clustered Regularly Interspaced Short Palindromic Repeats) technology has revolutionized the field of biotechnology by providing a precise and efficient way to edit genes. This has opened up new possibilities for treating genetic diseases, improving crop yields, and developing new biofuels. However, with",1.25293,0.614746,0.136173,-0.346493,0.8,0.95
65,279,"CRISPR (Clustered Regularly Interspaced Short Palindromic Repeats) technology has revolutionized the field of biotechnology by providing a precise and efficient way to edit genes. This has opened up new possibilities for treating genetic diseases, improving crop yields, and developing new biofuels. However, with the",1.141602,0.686523,0.199561,0.063388,0.8,0.95
66,2410,"CRISPR (Clustered Regularly Interspaced Short Palindromic Repeats) technology has revolutionized the field of biotechnology by providing a precise and efficient way to edit genes. This has opened up new possibilities for treating genetic diseases, improving crop yields, and developing new biofuels. However, with the power",1.462891,0.354248,0.032256,-0.167305,0.8,0.95
67,311,"CRISPR (Clustered Regularly Interspaced Short Palindromic Repeats) technology has revolutionized the field of biotechnology by providing a precise and efficient way to edit genes. This has opened up new possibilities for treating genetic diseases, improving crop yields, and developing new biofuels. However, with the power to",0.487549,0.204956,0.142868,0.110612,0.8,0.95
68,4600,"CRISPR (Clustered Regularly Interspaced Short Palindromic Repeats) technology has revolutionized the field of biotechnology by providing a precise and efficient way to edit genes. This has opened up new possibilities for treating genetic diseases, improving crop yields, and developing new biofuels. However, with the power to edit",0.594727,0.397217,0.250436,0.107567,0.8,0.95
69,21389,"CRISPR (Clustered Regularly Interspaced Short Palindromic Repeats) technology has revolutionized the field of biotechnology by providing a precise and efficient way to edit genes. This has opened up new possibilities for treating genetic diseases, improving crop yields, and developing new biofuels. However, with the power to edit genes",0.092285,0.481445,0.453839,0.203404,0.8,0.95
70,4131,"CRISPR (Clustered Regularly Interspaced Short Palindromic Repeats) technology has revolutionized the field of biotechnology by providing a precise and efficient way to edit genes. This has opened up new possibilities for treating genetic diseases, improving crop yields, and developing new biofuels. However, with the power to edit genes comes",0.174561,0.261475,0.233115,-0.220724,0.8,0.95
71,279,"CRISPR (Clustered Regularly Interspaced Short Palindromic Repeats) technology has revolutionized the field of biotechnology by providing a precise and efficient way to edit genes. This has opened up new possibilities for treating genetic diseases, improving crop yields, and developing new biofuels. However, with the power to edit genes comes the",0.268555,0.695801,0.579698,0.346583,0.8,0.95
72,5326,"CRISPR (Clustered Regularly Interspaced Short Palindromic Repeats) technology has revolutionized the field of biotechnology by providing a precise and efficient way to edit genes. This has opened up new possibilities for treating genetic diseases, improving crop yields, and developing new biofuels. However, with the power to edit genes comes the risk",0.116638,0.45752,0.424362,-0.155335,0.8,0.95
