step,token,text_so_far,entropy,coherence,resonance,d_resonance,temperature,top_p
1,31765,Dear,1.178711,1.0,0.267626,0.0,0.8,0.95
2,350,Dear T,0.042664,0.239624,0.233272,-0.034354,0.8,0.95
3,3422,Dear Tides,7.2e-05,0.215698,0.215689,-0.017583,0.8,0.95
4,3638,"Dear Tides,

",0.000965,0.256348,0.256194,0.040505,0.8,0.95
5,2170,"Dear Tides,

As",0.625977,0.393799,0.240634,-0.01556,0.8,0.95
6,358,"Dear Tides,

As I",0.2146,0.422607,0.366258,0.125623,0.8,0.95
7,36496,"Dear Tides,

As I gaze",1.036133,0.428955,0.1528,-0.213458,0.8,0.95
8,704,"Dear Tides,

As I gaze out",0.919922,0.708496,0.303534,0.150734,0.8,0.95
9,520,"Dear Tides,

As I gaze out at",0.940918,0.487793,0.202617,-0.100917,0.8,0.95
10,279,"Dear Tides,

As I gaze out at the",0.100586,0.601074,0.563509,0.360892,0.8,0.95
11,13057,"Dear Tides,

As I gaze out at the vast",0.306396,0.726562,0.588243,0.024735,0.8,0.95
12,506,"Dear Tides,

As I gaze out at the vast ex",0.059143,0.341553,0.329001,-0.259242,0.8,0.95
13,95519,"Dear Tides,

As I gaze out at the vast expanse",-0.0,0.267334,0.267334,-0.061667,0.8,0.95
14,315,"Dear Tides,

As I gaze out at the vast expanse of",0.000186,0.510254,0.510195,0.242861,0.8,0.95
15,279,"Dear Tides,

As I gaze out at the vast expanse of the",0.373535,0.779785,0.598804,0.08861,0.8,0.95
16,18435,"Dear Tides,

As I gaze out at the vast expanse of the ocean",0.437012,0.375244,0.273354,-0.325451,0.8,0.95
17,11,"Dear Tides,

As I gaze out at the vast expanse of the ocean,",0.262451,0.474854,0.397419,0.124065,0.8,0.95
18,358,"Dear Tides,

As I gaze out at the vast expanse of the ocean, I",0.115906,0.419678,0.389454,-0.007965,0.8,0.95
19,1097,"Dear Tides,

As I gaze out at the vast expanse of the ocean, I am",0.051575,0.427002,0.413319,0.023865,0.8,0.95
20,10409,"Dear Tides,

As I gaze out at the vast expanse of the ocean, I am filled",0.300537,0.457031,0.371688,-0.041631,0.8,0.95
21,449,"Dear Tides,

As I gaze out at the vast expanse of the ocean, I am filled with",6.1e-05,0.576172,0.57615,0.204462,0.8,0.95
22,264,"Dear Tides,

As I gaze out at the vast expanse of the ocean, I am filled with a",0.106689,0.690918,0.645117,0.068967,0.8,0.95
23,6651,"Dear Tides,

As I gaze out at the vast expanse of the ocean, I am filled with a mix",0.184692,0.408447,0.361576,-0.283542,0.8,0.95
24,315,"Dear Tides,

As I gaze out at the vast expanse of the ocean, I am filled with a mix of",0.000116,0.507324,0.507288,0.145712,0.8,0.95
25,21958,"Dear Tides,

As I gaze out at the vast expanse of the ocean, I am filled with a mix of emotions",0.065735,0.355957,0.341419,-0.165869,0.8,0.95
26,439,"Dear Tides,

As I gaze out at the vast expanse of the ocean, I am filled with a mix of emotions as",0.966797,0.456299,0.182198,-0.159221,0.8,0.95
27,358,"Dear Tides,

As I gaze out at the vast expanse of the ocean, I am filled with a mix of emotions as I",0.100403,0.475098,0.445459,0.263261,0.8,0.95
28,3821,"Dear Tides,

As I gaze out at the vast expanse of the ocean, I am filled with a mix of emotions as I watch",1.335938,0.351074,0.05966,-0.385799,0.8,0.95
29,499,"Dear Tides,

As I gaze out at the vast expanse of the ocean, I am filled with a mix of emotions as I watch you",0.547363,0.439453,0.289997,0.230337,0.8,0.95
30,10205,"Dear Tides,

As I gaze out at the vast expanse of the ocean, I am filled with a mix of emotions as I watch you rise",0.873047,0.436768,0.199841,-0.090156,0.8,0.95
31,323,"Dear Tides,

As I gaze out at the vast expanse of the ocean, I am filled with a mix of emotions as I watch you rise and",0.000132,0.423096,0.423061,0.22322,0.8,0.95
32,4498,"Dear Tides,

As I gaze out at the vast expanse of the ocean, I am filled with a mix of emotions as I watch you rise and fall",0.016006,0.36084,0.357251,-0.06581,0.8,0.95
33,11,"Dear Tides,

As I gaze out at the vast expanse of the ocean, I am filled with a mix of emotions as I watch you rise and fall,",0.735352,0.570801,0.310002,-0.047249,0.8,0.95
34,10205,"Dear Tides,

As I gaze out at the vast expanse of the ocean, I am filled with a mix of emotions as I watch you rise and fall, rise",1.413086,0.347168,0.042355,-0.267648,0.8,0.95
35,323,"Dear Tides,

As I gaze out at the vast expanse of the ocean, I am filled with a mix of emotions as I watch you rise and fall, rise and",0.015991,0.467285,0.462642,0.420288,0.8,0.95
36,4498,"Dear Tides,

As I gaze out at the vast expanse of the ocean, I am filled with a mix of emotions as I watch you rise and fall, rise and fall",6.5e-05,0.280029,0.280018,-0.182624,0.8,0.95
37,11,"Dear Tides,

As I gaze out at the vast expanse of the ocean, I am filled with a mix of emotions as I watch you rise and fall, rise and fall,",0.245117,0.65332,0.55382,0.273802,0.8,0.95
38,304,"Dear Tides,

As I gaze out at the vast expanse of the ocean, I am filled with a mix of emotions as I watch you rise and fall, rise and fall, in",0.42749,0.522461,0.383688,-0.170132,0.8,0.95
39,701,"Dear Tides,

As I gaze out at the vast expanse of the ocean, I am filled with a mix of emotions as I watch you rise and fall, rise and fall, in your",1.032227,0.699707,0.250944,-0.132744,0.8,0.95
40,35825,"Dear Tides,

As I gaze out at the vast expanse of the ocean, I am filled with a mix of emotions as I watch you rise and fall, rise and fall, in your eternal",0.370361,0.600098,0.462004,0.21106,0.8,0.95
41,15612,"Dear Tides,

As I gaze out at the vast expanse of the ocean, I am filled with a mix of emotions as I watch you rise and fall, rise and fall, in your eternal dance",0.754883,0.446777,0.237223,-0.224781,0.8,0.95
42,13,"Dear Tides,

As I gaze out at the vast expanse of the ocean, I am filled with a mix of emotions as I watch you rise and fall, rise and fall, in your eternal dance.",0.406982,0.223999,0.167356,-0.069867,0.8,0.95
43,358,"Dear Tides,

As I gaze out at the vast expanse of the ocean, I am filled with a mix of emotions as I watch you rise and fall, rise and fall, in your eternal dance. I",0.224365,0.227051,0.195399,0.028043,0.8,0.95
44,1097,"Dear Tides,

As I gaze out at the vast expanse of the ocean, I am filled with a mix of emotions as I watch you rise and fall, rise and fall, in your eternal dance. I am",0.208008,0.401855,0.349919,0.15452,0.8,0.95
45,12691,"Dear Tides,

As I gaze out at the vast expanse of the ocean, I am filled with a mix of emotions as I watch you rise and fall, rise and fall, in your eternal dance. I am proud",1.052734,0.432861,0.149726,-0.200192,0.8,0.95
46,311,"Dear Tides,

As I gaze out at the vast expanse of the ocean, I am filled with a mix of emotions as I watch you rise and fall, rise and fall, in your eternal dance. I am proud to",0.409668,0.401123,0.299021,0.149294,0.8,0.95
47,387,"Dear Tides,

As I gaze out at the vast expanse of the ocean, I am filled with a mix of emotions as I watch you rise and fall, rise and fall, in your eternal dance. I am proud to be",0.041016,0.518066,0.504864,0.205843,0.8,0.95
48,264,"Dear Tides,

As I gaze out at the vast expanse of the ocean, I am filled with a mix of emotions as I watch you rise and fall, rise and fall, in your eternal dance. I am proud to be a",0.743164,0.566895,0.305129,-0.199735,0.8,0.95
49,961,"Dear Tides,

As I gaze out at the vast expanse of the ocean, I am filled with a mix of emotions as I watch you rise and fall, rise and fall, in your eternal dance. I am proud to be a part",0.008606,0.301025,0.299416,-0.005713,0.8,0.95
50,315,"Dear Tides,

As I gaze out at the vast expanse of the ocean, I am filled with a mix of emotions as I watch you rise and fall, rise and fall, in your eternal dance. I am proud to be a part of",0.000322,0.363281,0.363208,0.063793,0.8,0.95
51,420,"Dear Tides,

As I gaze out at the vast expanse of the ocean, I am filled with a mix of emotions as I watch you rise and fall, rise and fall, in your eternal dance. I am proud to be a part of this",0.290527,0.446289,0.365727,0.002519,0.8,0.95
52,14154,"Dear Tides,

As I gaze out at the vast expanse of the ocean, I am filled with a mix of emotions as I watch you rise and fall, rise and fall, in your eternal dance. I am proud to be a part of this ancient",1.535156,0.743652,0.034322,-0.331405,0.8,0.95
53,37390,"Dear Tides,

As I gaze out at the vast expanse of the ocean, I am filled with a mix of emotions as I watch you rise and fall, rise and fall, in your eternal dance. I am proud to be a part of this ancient rhythm",1.220703,0.33374,0.08061,0.046287,0.8,0.95
54,11,"Dear Tides,

As I gaze out at the vast expanse of the ocean, I am filled with a mix of emotions as I watch you rise and fall, rise and fall, in your eternal dance. I am proud to be a part of this ancient rhythm,",0.114197,0.409424,0.380373,0.299764,0.8,0.95
55,311,"Dear Tides,

As I gaze out at the vast expanse of the ocean, I am filled with a mix of emotions as I watch you rise and fall, rise and fall, in your eternal dance. I am proud to be a part of this ancient rhythm, to",1.022461,0.523926,0.191081,-0.189293,0.8,0.95
56,387,"Dear Tides,

As I gaze out at the vast expanse of the ocean, I am filled with a mix of emotions as I watch you rise and fall, rise and fall, in your eternal dance. I am proud to be a part of this ancient rhythm, to be",0.768066,0.507324,0.265216,0.074135,0.8,0.95
57,279,"Dear Tides,

As I gaze out at the vast expanse of the ocean, I am filled with a mix of emotions as I watch you rise and fall, rise and fall, in your eternal dance. I am proud to be a part of this ancient rhythm, to be the",0.095337,0.471924,0.443969,0.178753,0.8,0.95
58,6926,"Dear Tides,

As I gaze out at the vast expanse of the ocean, I am filled with a mix of emotions as I watch you rise and fall, rise and fall, in your eternal dance. I am proud to be a part of this ancient rhythm, to be the constant",1.526367,0.769043,0.039694,-0.404275,0.8,0.95
59,8427,"Dear Tides,

As I gaze out at the vast expanse of the ocean, I am filled with a mix of emotions as I watch you rise and fall, rise and fall, in your eternal dance. I am proud to be a part of this ancient rhythm, to be the constant partner",1.369141,0.51709,0.077204,0.03751,0.8,0.95
60,311,"Dear Tides,

As I gaze out at the vast expanse of the ocean, I am filled with a mix of emotions as I watch you rise and fall, rise and fall, in your eternal dance. I am proud to be a part of this ancient rhythm, to be the constant partner to",0.820801,0.451904,0.221437,0.144232,0.8,0.95
61,701,"Dear Tides,

As I gaze out at the vast expanse of the ocean, I am filled with a mix of emotions as I watch you rise and fall, rise and fall, in your eternal dance. I am proud to be a part of this ancient rhythm, to be the constant partner to your",0.002136,0.391846,0.391326,0.169889,0.8,0.95
62,384,"Dear Tides,

As I gaze out at the vast expanse of the ocean, I am filled with a mix of emotions as I watch you rise and fall, rise and fall, in your eternal dance. I am proud to be a part of this ancient rhythm, to be the constant partner to your e",0.867188,0.318115,0.14671,-0.244615,0.8,0.95
63,6194,"Dear Tides,

As I gaze out at the vast expanse of the ocean, I am filled with a mix of emotions as I watch you rise and fall, rise and fall, in your eternal dance. I am proud to be a part of this ancient rhythm, to be the constant partner to your ebb",0.014725,0.24939,0.247108,0.100398,0.8,0.95
64,323,"Dear Tides,

As I gaze out at the vast expanse of the ocean, I am filled with a mix of emotions as I watch you rise and fall, rise and fall, in your eternal dance. I am proud to be a part of this ancient rhythm, to be the constant partner to your ebb and",6.9e-05,0.373047,0.373031,0.125923,0.8,0.95
65,6530,"Dear Tides,

As I gaze out at the vast expanse of the ocean, I am filled with a mix of emotions as I watch you rise and fall, rise and fall, in your eternal dance. I am proud to be a part of this ancient rhythm, to be the constant partner to your ebb and flow",0.000676,0.178467,0.178392,-0.194639,0.8,0.95
66,382,"Dear Tides,

As I gaze out at the vast expanse of the ocean, I am filled with a mix of emotions as I watch you rise and fall, rise and fall, in your eternal dance. I am proud to be a part of this ancient rhythm, to be the constant partner to your ebb and flow.

",0.394043,0.19873,0.150075,-0.028317,0.8,0.95
67,40,"Dear Tides,

As I gaze out at the vast expanse of the ocean, I am filled with a mix of emotions as I watch you rise and fall, rise and fall, in your eternal dance. I am proud to be a part of this ancient rhythm, to be the constant partner to your ebb and flow.

I",0.683105,0.237549,0.136724,-0.013351,0.8,0.95
68,1097,"Dear Tides,

As I gaze out at the vast expanse of the ocean, I am filled with a mix of emotions as I watch you rise and fall, rise and fall, in your eternal dance. I am proud to be a part of this ancient rhythm, to be the constant partner to your ebb and flow.

I am",1.111328,0.419189,0.129736,-0.006988,0.8,0.95
69,12691,"Dear Tides,

As I gaze out at the vast expanse of the ocean, I am filled with a mix of emotions as I watch you rise and fall, rise and fall, in your eternal dance. I am proud to be a part of this ancient rhythm, to be the constant partner to your ebb and flow.

I am proud",0.079285,0.377686,0.35908,0.229344,0.8,0.95
70,315,"Dear Tides,

As I gaze out at the vast expanse of the ocean, I am filled with a mix of emotions as I watch you rise and fall, rise and fall, in your eternal dance. I am proud to be a part of this ancient rhythm, to be the constant partner to your ebb and flow.

I am proud of",0.927734,0.486328,0.205992,-0.153088,0.8,0.95
71,279,"Dear Tides,

As I gaze out at the vast expanse of the ocean, I am filled with a mix of emotions as I watch you rise and fall, rise and fall, in your eternal dance. I am proud to be a part of this ancient rhythm, to be the constant partner to your ebb and flow.

I am proud of the",0.007355,0.422363,0.420433,0.214441,0.8,0.95
72,1648,"Dear Tides,

As I gaze out at the vast expanse of the ocean, I am filled with a mix of emotions as I watch you rise and fall, rise and fall, in your eternal dance. I am proud to be a part of this ancient rhythm, to be the constant partner to your ebb and flow.

I am proud of the way",0.461914,0.379883,0.270855,-0.149578,0.8,0.95
73,499,"Dear Tides,

As I gaze out at the vast expanse of the ocean, I am filled with a mix of emotions as I watch you rise and fall, rise and fall, in your eternal dance. I am proud to be a part of this ancient rhythm, to be the constant partner to your ebb and flow.

I am proud of the way you",0.86084,0.37915,0.176354,-0.094501,0.8,0.95
74,4546,"Dear Tides,

As I gaze out at the vast expanse of the ocean, I am filled with a mix of emotions as I watch you rise and fall, rise and fall, in your eternal dance. I am proud to be a part of this ancient rhythm, to be the constant partner to your ebb and flow.

I am proud of the way you bring",0.907715,0.385498,0.168079,-0.008275,0.8,0.95
