step,token,text_so_far,entropy,coherence,resonance,d_resonance,temperature,top_p
1,3923,What,1.40625,1.0,0.126248,0.0,0.8,0.95
2,264,What a,0.075745,0.624023,0.594655,0.468407,0.8,0.95
3,50189,What a delightful,1.378906,0.557129,0.079802,-0.514853,0.8,0.95
4,10137,What a delightful prompt,1.015625,0.393799,0.145295,0.065493,0.8,0.95
5,0,What a delightful prompt!,0.44043,0.45752,0.332317,0.187023,0.8,0.95
6,5810,What a delightful prompt! Here,0.075562,0.308838,0.294338,-0.037979,0.8,0.95
7,596,What a delightful prompt! Here's,0.543945,0.560547,0.371098,0.076759,0.8,0.95
8,264,What a delightful prompt! Here's a,0.273193,0.590332,0.490126,0.119029,0.8,0.95
9,3021,What a delightful prompt! Here's a love,0.014053,0.591797,0.586629,0.096503,0.8,0.95
10,6661,What a delightful prompt! Here's a love letter,2.7e-05,0.432373,0.432366,-0.154264,0.8,0.95
11,430,What a delightful prompt! Here's a love letter that,0.015617,0.523438,0.518358,0.085992,0.8,0.95
12,7064,What a delightful prompt! Here's a love letter that altern,0.95752,0.197388,0.079954,-0.438404,0.8,0.95
13,988,What a delightful prompt! Here's a love letter that alternates,9e-06,0.187988,0.187987,0.108033,0.8,0.95
14,1990,What a delightful prompt! Here's a love letter that alternates between,2e-05,0.503906,0.5039,0.315913,0.8,0.95
15,8753,What a delightful prompt! Here's a love letter that alternates between French,0.000789,0.474854,0.474621,-0.029279,0.8,0.95
16,11,"What a delightful prompt! Here's a love letter that alternates between French,",3.9e-05,0.390381,0.390371,-0.084249,0.8,0.95
17,15506,"What a delightful prompt! Here's a love letter that alternates between French, Spanish",1.7e-05,0.419922,0.419917,0.029546,0.8,0.95
18,11,"What a delightful prompt! Here's a love letter that alternates between French, Spanish,",7.4e-05,0.403564,0.403546,-0.016371,0.8,0.95
19,323,"What a delightful prompt! Here's a love letter that alternates between French, Spanish, and",0.000653,0.304199,0.304076,-0.09947,0.8,0.95
20,6498,"What a delightful prompt! Here's a love letter that alternates between French, Spanish, and English",2e-06,0.300293,0.300293,-0.003783,0.8,0.95
21,11,"What a delightful prompt! Here's a love letter that alternates between French, Spanish, and English,",0.608887,0.518066,0.32207,0.021778,0.8,0.95
22,1855,"What a delightful prompt! Here's a love letter that alternates between French, Spanish, and English, each",1.026367,0.606934,0.219881,-0.102189,0.8,0.95
23,4221,"What a delightful prompt! Here's a love letter that alternates between French, Spanish, and English, each language",0.479248,0.706055,0.49581,0.275929,0.8,0.95
24,37810,"What a delightful prompt! Here's a love letter that alternates between French, Spanish, and English, each language expressing",1.145508,0.391846,0.112952,-0.382858,0.8,0.95
25,264,"What a delightful prompt! Here's a love letter that alternates between French, Spanish, and English, each language expressing a",0.001366,0.551758,0.55129,0.438338,0.8,0.95
26,2204,"What a delightful prompt! Here's a love letter that alternates between French, Spanish, and English, each language expressing a different",0.001465,0.529785,0.529303,-0.021987,0.8,0.95
27,6566,"What a delightful prompt! Here's a love letter that alternates between French, Spanish, and English, each language expressing a different stage",2.6e-05,0.315186,0.315181,-0.214122,0.8,0.95
28,315,"What a delightful prompt! Here's a love letter that alternates between French, Spanish, and English, each language expressing a different stage of",1.7e-05,0.409912,0.409908,0.094727,0.8,0.95
29,37805,"What a delightful prompt! Here's a love letter that alternates between French, Spanish, and English, each language expressing a different stage of affection",0.000235,0.287842,0.2878,-0.122108,0.8,0.95
30,1473,"What a delightful prompt! Here's a love letter that alternates between French, Spanish, and English, each language expressing a different stage of affection:

",0.310303,0.159058,0.128391,-0.159409,0.8,0.95
31,1163,"What a delightful prompt! Here's a love letter that alternates between French, Spanish, and English, each language expressing a different stage of affection:

Ch",1.28125,0.297363,0.060637,-0.067754,0.8,0.95
32,261,"What a delightful prompt! Here's a love letter that alternates between French, Spanish, and English, each language expressing a different stage of affection:

Cher",0.861328,0.307617,0.142989,0.082352,0.8,0.95
33,99253,"What a delightful prompt! Here's a love letter that alternates between French, Spanish, and English, each language expressing a different stage of affection:

Cher amour",0.430664,0.620605,0.45454,0.311551,0.8,0.95
34,3638,"What a delightful prompt! Here's a love letter that alternates between French, Spanish, and English, each language expressing a different stage of affection:

Cher amour,

",0.885742,0.325195,0.146226,-0.308313,0.8,0.95
