step,token,text_so_far,entropy,coherence,resonance,d_resonance,temperature,top_p
1,14755,Black,0.655762,1.0,0.592552,0.0,0.8,0.95
2,20349,Black holes,0.002802,0.177368,0.177059,-0.415493,0.8,0.95
3,527,Black holes are,0.522461,0.424561,0.286738,0.109679,0.8,0.95
4,4315,Black holes are among,1.361328,0.532227,0.082048,-0.204691,0.8,0.95
5,279,Black holes are among the,0.000143,0.569824,0.569774,0.487726,0.8,0.95
6,1455,Black holes are among the most,0.000715,0.586914,0.586653,0.01688,0.8,0.95
7,27387,Black holes are among the most fascinating,0.437744,0.475098,0.345878,-0.240776,0.8,0.95
8,323,Black holes are among the most fascinating and,0.222778,0.444824,0.383252,0.037374,0.8,0.95
9,26454,Black holes are among the most fascinating and mysterious,1.013672,0.405518,0.150111,-0.233141,0.8,0.95
10,6302,Black holes are among the most fascinating and mysterious objects,0.483643,0.494141,0.345649,0.195539,0.8,0.95
11,304,Black holes are among the most fascinating and mysterious objects in,2.4e-05,0.467041,0.467034,0.121385,0.8,0.95
12,279,Black holes are among the most fascinating and mysterious objects in the,0.013245,0.605957,0.60097,0.133936,0.8,0.95
13,15861,Black holes are among the most fascinating and mysterious objects in the universe,0.004662,0.285889,0.285061,-0.31591,0.8,0.95
14,11,"Black holes are among the most fascinating and mysterious objects in the universe,",0.008156,0.555176,0.552362,0.267302,0.8,0.95
15,323,"Black holes are among the most fascinating and mysterious objects in the universe, and",0.171875,0.532715,0.475825,-0.076537,0.8,0.95
16,814,"Black holes are among the most fascinating and mysterious objects in the universe, and they",0.672852,0.461914,0.268803,-0.207022,0.8,0.95
17,17477,"Black holes are among the most fascinating and mysterious objects in the universe, and they pose",1.423828,0.356934,0.041164,-0.22764,0.8,0.95
18,5199,"Black holes are among the most fascinating and mysterious objects in the universe, and they pose significant",0.76709,0.635254,0.332479,0.291316,0.8,0.95
19,11774,"Black holes are among the most fascinating and mysterious objects in the universe, and they pose significant challenges",0.007637,0.441162,0.439069,0.106589,0.8,0.95
20,311,"Black holes are among the most fascinating and mysterious objects in the universe, and they pose significant challenges to",0.052917,0.484863,0.468921,0.029852,0.8,0.95
21,1057,"Black holes are among the most fascinating and mysterious objects in the universe, and they pose significant challenges to our",0.007671,0.564941,0.562249,0.093327,0.8,0.95
22,8830,"Black holes are among the most fascinating and mysterious objects in the universe, and they pose significant challenges to our understanding",0.095032,0.393555,0.370317,-0.191932,0.8,0.95
