step,token,text_so_far,entropy,coherence,resonance,d_resonance,temperature,top_p
1,83696,(The,0.149902,1.0,0.90686,0.0,0.8,0.95
2,16700,(The mountain,0.862305,0.373535,0.173402,-0.733458,0.8,0.95
3,13656,(The mountain stands,0.947266,0.447754,0.18422,0.010817,0.8,0.95
4,16615,(The mountain stands tall,0.0383,0.572266,0.558648,0.374428,0.8,0.95
5,11,"(The mountain stands tall,",0.424316,0.525391,0.386875,-0.171772,0.8,0.95
6,1202,"(The mountain stands tall, its",0.013214,0.546875,0.542385,0.15551,0.8,0.95
7,16557,"(The mountain stands tall, its peak",1.302734,0.41626,0.079325,-0.46306,0.8,0.95
8,19261,"(The mountain stands tall, its peak reaching",0.621094,0.494141,0.303448,0.224123,0.8,0.95
9,369,"(The mountain stands tall, its peak reaching for",0.625977,0.545898,0.333576,0.030128,0.8,0.95
10,279,"(The mountain stands tall, its peak reaching for the",-0.0,0.625,0.625,0.291424,0.8,0.95
11,13180,"(The mountain stands tall, its peak reaching for the sky",0.600586,0.272461,0.170788,-0.454212,0.8,0.95
12,439,"(The mountain stands tall, its peak reaching for the sky as",1.075195,0.419189,0.139147,-0.031641,0.8,0.95
13,433,"(The mountain stands tall, its peak reaching for the sky as it",0.104187,0.374268,0.350039,0.210892,0.8,0.95
14,12302,"(The mountain stands tall, its peak reaching for the sky as it begins",0.37085,0.411377,0.316587,-0.033453,0.8,0.95
15,311,"(The mountain stands tall, its peak reaching for the sky as it begins to",0.000247,0.527344,0.527263,0.210676,0.8,0.95
16,23935,"(The mountain stands tall, its peak reaching for the sky as it begins to stir",1.361328,0.369385,0.056944,-0.470319,0.8,0.95
17,13,"(The mountain stands tall, its peak reaching for the sky as it begins to stir.",0.142578,0.398438,0.36314,0.306196,0.8,0.95
18,578,"(The mountain stands tall, its peak reaching for the sky as it begins to stir. The",0.871094,0.415527,0.190627,-0.172513,0.8,0.95
19,9578,"(The mountain stands tall, its peak reaching for the sky as it begins to stir. The earth",1.116211,0.346924,0.106318,-0.084309,0.8,0.95
20,18659,"(The mountain stands tall, its peak reaching for the sky as it begins to stir. The earth trem",1.361328,0.25,0.03854,-0.067778,0.8,0.95
21,39863,"(The mountain stands tall, its peak reaching for the sky as it begins to stir. The earth trembles",0.030319,0.176147,0.172829,0.134289,0.8,0.95
