step,token,text_so_far,entropy,coherence,resonance,d_resonance,temperature,top_p
1,10267,Let,1.109375,1.0,0.310707,0.0,0.8,0.95
2,596,Let's,0.001322,0.388916,0.388597,0.07789,0.8,0.95
3,1935,Let's take,0.795898,0.354736,0.179312,-0.209284,0.8,0.95
4,279,Let's take the,0.457764,0.54834,0.392379,0.213066,0.8,0.95
5,8776,Let's take the traditional,0.834473,0.778809,0.375006,-0.017372,0.8,0.95
6,2911,Let's take the traditional children,0.604004,0.414551,0.258975,-0.116032,0.8,0.95
7,596,Let's take the traditional children's,9.4e-05,0.562988,0.562955,0.303981,0.8,0.95
8,326,Let's take the traditional children's l,0.001099,0.273438,0.273251,-0.289705,0.8,0.95
9,620,Let's take the traditional children's lull,0.003101,0.39624,0.395477,0.122226,0.8,0.95
10,6243,Let's take the traditional children's lullaby,1e-05,0.310791,0.310789,-0.084688,0.8,0.95
11,330,"Let's take the traditional children's lullaby """,0.034302,0.299072,0.292698,-0.018091,0.8,0.95
12,23662,"Let's take the traditional children's lullaby ""Tw",0.858887,0.27124,0.126491,-0.166207,0.8,0.95
13,36244,"Let's take the traditional children's lullaby ""Twinkle",0.009872,0.174072,0.173004,0.046513,0.8,0.95
14,11,"Let's take the traditional children's lullaby ""Twinkle,",0.00065,0.645508,0.645247,0.472243,0.8,0.95
15,12015,"Let's take the traditional children's lullaby ""Twinkle, Tw",0.000454,0.235107,0.235041,-0.410206,0.8,0.95
16,36244,"Let's take the traditional children's lullaby ""Twinkle, Twinkle",9.6e-05,0.150635,0.150626,-0.084415,0.8,0.95
17,11,"Let's take the traditional children's lullaby ""Twinkle, Twinkle,",0.00428,0.713379,0.711482,0.560856,0.8,0.95
18,15013,"Let's take the traditional children's lullaby ""Twinkle, Twinkle, Little",6.1e-05,0.484863,0.484845,-0.226637,0.8,0.95
19,7834,"Let's take the traditional children's lullaby ""Twinkle, Twinkle, Little Star",8.9e-05,0.216064,0.216052,-0.268792,0.8,0.95
20,1,"Let's take the traditional children's lullaby ""Twinkle, Twinkle, Little Star""",0.549316,0.405762,0.267271,0.051219,0.8,0.95
21,323,"Let's take the traditional children's lullaby ""Twinkle, Twinkle, Little Star"" and",0.266113,0.383789,0.320331,0.05306,0.8,0.95
