step,token,text_so_far,entropy,coherence,resonance,d_resonance,temperature,top_p
1,2170,As,1.580078,1.0,0.018242,0.0,0.8,0.95
2,264,As a,0.687988,0.487305,0.278996,0.260754,0.8,0.95
3,30581,As a painter,0.983887,0.446289,0.173462,-0.105534,0.8,0.95
4,11,"As a painter,",0.036835,0.462891,0.452297,0.278834,0.8,0.95
5,82162,"As a painter, Lena",1.421875,0.321533,0.037471,-0.414825,0.8,0.95
6,1047,"As a painter, Lena had",0.032532,0.545898,0.534864,0.497393,0.8,0.95
7,2744,"As a painter, Lena had always",0.069153,0.599609,0.573846,0.038982,0.8,0.95
8,1027,"As a painter, Lena had always been",0.032867,0.501465,0.491224,-0.082622,0.8,0.95
9,61914,"As a painter, Lena had always been fascinated",0.27124,0.342529,0.284802,-0.206422,0.8,0.95
10,555,"As a painter, Lena had always been fascinated by",0.007706,0.412354,0.410379,0.125577,0.8,0.95
11,279,"As a painter, Lena had always been fascinated by the",0.00914,0.51416,0.51124,0.100861,0.8,0.95
12,42129,"As a painter, Lena had always been fascinated by the subt",1.556641,0.147461,0.004837,-0.506403,0.8,0.95
13,1169,"As a painter, Lena had always been fascinated by the subtlet",0.000395,0.527832,0.527702,0.522865,0.8,0.95
14,552,"As a painter, Lena had always been fascinated by the subtleties",0.000506,0.172729,0.172675,-0.355027,0.8,0.95
15,315,"As a painter, Lena had always been fascinated by the subtleties of",0.000105,0.488281,0.488249,0.315574,0.8,0.95
16,1933,"As a painter, Lena had always been fascinated by the subtleties of color",0.507812,0.462402,0.316504,-0.171745,0.8,0.95
17,13,"As a painter, Lena had always been fascinated by the subtleties of color.",0.218994,0.306885,0.265127,-0.051377,0.8,0.95
18,3005,"As a painter, Lena had always been fascinated by the subtleties of color. She",0.037933,0.34082,0.332787,0.06766,0.8,0.95
19,7543,"As a painter, Lena had always been fascinated by the subtleties of color. She spent",0.061676,0.324219,0.311794,-0.020993,0.8,0.95
20,4207,"As a painter, Lena had always been fascinated by the subtleties of color. She spent hours",0.597656,0.351562,0.221012,-0.090783,0.8,0.95
21,4247,"As a painter, Lena had always been fascinated by the subtleties of color. She spent hours por",1.295898,0.2229,0.043424,-0.177588,0.8,0.95
22,287,"As a painter, Lena had always been fascinated by the subtleties of color. She spent hours poring",7.9e-05,0.310791,0.310776,0.267352,0.8,0.95
23,927,"As a painter, Lena had always been fascinated by the subtleties of color. She spent hours poring over",5.7e-05,0.323486,0.323475,0.012699,0.8,0.95
24,279,"As a painter, Lena had always been fascinated by the subtleties of color. She spent hours poring over the",1.49707,0.674316,0.047079,-0.276396,0.8,0.95
25,4375,"As a painter, Lena had always been fascinated by the subtleties of color. She spent hours poring over the works",0.666016,0.357178,0.209371,0.162292,0.8,0.95
26,315,"As a painter, Lena had always been fascinated by the subtleties of color. She spent hours poring over the works of",-0.0,0.45459,0.45459,0.245219,0.8,0.95
27,279,"As a painter, Lena had always been fascinated by the subtleties of color. She spent hours poring over the works of the",0.686523,0.745117,0.427279,-0.027311,0.8,0.95
28,36467,"As a painter, Lena had always been fascinated by the subtleties of color. She spent hours poring over the works of the masters",0.762207,0.281494,0.148182,-0.279097,0.8,0.95
29,11,"As a painter, Lena had always been fascinated by the subtleties of color. She spent hours poring over the works of the masters,",1e-05,0.389648,0.389646,0.241463,0.8,0.95
30,21630,"As a painter, Lena had always been fascinated by the subtleties of color. She spent hours poring over the works of the masters, studying",0.55127,0.357666,0.235157,-0.154489,0.8,0.95
31,279,"As a painter, Lena had always been fascinated by the subtleties of color. She spent hours poring over the works of the masters, studying the",0.030334,0.679199,0.666398,0.431241,0.8,0.95
32,1648,"As a painter, Lena had always been fascinated by the subtleties of color. She spent hours poring over the works of the masters, studying the way",0.354248,0.59082,0.460777,-0.205621,0.8,0.95
33,814,"As a painter, Lena had always been fascinated by the subtleties of color. She spent hours poring over the works of the masters, studying the way they",0.707031,0.407959,0.228741,-0.232036,0.8,0.95
34,1511,"As a painter, Lena had always been fascinated by the subtleties of color. She spent hours poring over the works of the masters, studying the way they used",0.629883,0.435547,0.265088,0.036346,0.8,0.95
35,40140,"As a painter, Lena had always been fascinated by the subtleties of color. She spent hours poring over the works of the masters, studying the way they used hue",0.837891,0.472412,0.226469,-0.038618,0.8,0.95
36,323,"As a painter, Lena had always been fascinated by the subtleties of color. She spent hours poring over the works of the masters, studying the way they used hue and",0.256592,0.465088,0.390939,0.16447,0.8,0.95
37,50843,"As a painter, Lena had always been fascinated by the subtleties of color. She spent hours poring over the works of the masters, studying the way they used hue and saturation",0.947754,0.333008,0.136909,-0.254031,0.8,0.95
38,311,"As a painter, Lena had always been fascinated by the subtleties of color. She spent hours poring over the works of the masters, studying the way they used hue and saturation to",-0.0,0.432861,0.432861,0.295953,0.8,0.95
39,95263,"As a painter, Lena had always been fascinated by the subtleties of color. She spent hours poring over the works of the masters, studying the way they used hue and saturation to evoke",0.158081,0.435791,0.392987,-0.039874,0.8,0.95
40,20356,"As a painter, Lena had always been fascinated by the subtleties of color. She spent hours poring over the works of the masters, studying the way they used hue and saturation to evoke emotion",0.629395,0.37793,0.230135,-0.162852,0.8,0.95
41,323,"As a painter, Lena had always been fascinated by the subtleties of color. She spent hours poring over the works of the masters, studying the way they used hue and saturation to evoke emotion and",0.055908,0.336426,0.324739,0.094604,0.8,0.95
42,20599,"As a painter, Lena had always been fascinated by the subtleties of color. She spent hours poring over the works of the masters, studying the way they used hue and saturation to evoke emotion and convey",1.222656,0.702637,0.168858,-0.155881,0.8,0.95
43,7438,"As a painter, Lena had always been fascinated by the subtleties of color. She spent hours poring over the works of the masters, studying the way they used hue and saturation to evoke emotion and convey meaning",0.646973,0.298584,0.178557,0.009699,0.8,0.95
44,13,"As a painter, Lena had always been fascinated by the subtleties of color. She spent hours poring over the works of the masters, studying the way they used hue and saturation to evoke emotion and convey meaning.",8e-06,0.280762,0.28076,0.102203,0.8,0.95
45,2030,"As a painter, Lena had always been fascinated by the subtleties of color. She spent hours poring over the works of the masters, studying the way they used hue and saturation to evoke emotion and convey meaning. But",0.380371,0.48584,0.371018,0.090257,0.8,0.95
46,8994,"As a painter, Lena had always been fascinated by the subtleties of color. She spent hours poring over the works of the masters, studying the way they used hue and saturation to evoke emotion and convey meaning. But despite",0.509277,0.343262,0.234643,-0.136375,0.8,0.95
47,1077,"As a painter, Lena had always been fascinated by the subtleties of color. She spent hours poring over the works of the masters, studying the way they used hue and saturation to evoke emotion and convey meaning. But despite her",0.001724,0.536133,0.535558,0.300916,0.8,0.95
